development_cohort,external_cohort,measure,feature,development_value,external_value,shift_value,status
cleveland,hungary,target_prevalence,disease_present,0.45874587458745875,0.36054421768707484,-0.0982016569003839,available
cleveland,hungary,missingness,age,0.0,0.0,0.0,available
cleveland,hungary,missingness,sex,0.0,0.0,0.0,available
cleveland,hungary,missingness,cp,0.0,0.0,0.0,available
cleveland,hungary,missingness,trestbps,0.0,0.003401360544217687,0.003401360544217687,available
cleveland,hungary,missingness,chol,0.0,0.0782312925170068,0.0782312925170068,available
cleveland,hungary,missingness,fbs,0.0,0.027210884353741496,0.027210884353741496,available
cleveland,hungary,missingness,restecg,0.0,0.003401360544217687,0.003401360544217687,available
cleveland,hungary,missingness,thalach,0.0,0.003401360544217687,0.003401360544217687,available
cleveland,hungary,missingness,exang,0.0,0.003401360544217687,0.003401360544217687,available
cleveland,hungary,missingness,oldpeak,0.0,0.0,0.0,available
cleveland,hungary,missingness,slope,0.0,0.6462585034013606,0.6462585034013606,available
cleveland,hungary,missingness,ca,0.013201320132013201,0.9897959183673469,0.9765945982353337,available
cleveland,hungary,missingness,thal,0.006600660066006601,0.9047619047619048,0.8981612446958982,available
cleveland,hungary,standardized_mean_difference,age,54.43894389438944,47.826530612244895,-0.7827620854739646,available
cleveland,hungary,standardized_mean_difference,trestbps,131.68976897689768,132.5836177474403,0.05074890723620206,available
cleveland,hungary,standardized_mean_difference,chol,246.69306930693068,250.84870848708488,0.06898138808071545,available
cleveland,hungary,standardized_mean_difference,thalach,149.6072607260726,139.1296928327645,-0.4509365879966558,available
cleveland,hungary,standardized_mean_difference,oldpeak,1.0396039603960396,0.5860544217687075,-0.4350471262663332,available
cleveland,hungary,total_variation_distance,sex,,,0.044621809119687494,available
cleveland,hungary,total_variation_distance,cp,,,0.1955277160369098,available
cleveland,hungary,total_variation_distance,fbs,,,0.08048764060079477,available
cleveland,hungary,total_variation_distance,restecg,,,0.46804068161918233,available
cleveland,hungary,total_variation_distance,exang,,,0.02401158483195256,available
cleveland,hungary,total_variation_distance,slope,,,0.6462585034013606,available
cleveland,hungary,total_variation_distance,ca,,,0.9765945982353337,available
cleveland,hungary,total_variation_distance,thal,,,0.8981612446958982,available
cleveland,switzerland,target_prevalence,disease_present,0.45874587458745875,0.9349593495934959,0.47621347500603717,available
cleveland,switzerland,missingness,age,0.0,0.0,0.0,available
cleveland,switzerland,missingness,sex,0.0,0.0,0.0,available
cleveland,switzerland,missingness,cp,0.0,0.0,0.0,available
cleveland,switzerland,missingness,trestbps,0.0,0.016260162601626018,0.016260162601626018,available
cleveland,switzerland,missingness,chol,0.0,0.0,0.0,available
cleveland,switzerland,missingness,fbs,0.0,0.6097560975609756,0.6097560975609756,available
cleveland,switzerland,missingness,restecg,0.0,0.008130081300813009,0.008130081300813009,available
cleveland,switzerland,missingness,thalach,0.0,0.008130081300813009,0.008130081300813009,available
cleveland,switzerland,missingness,exang,0.0,0.008130081300813009,0.008130081300813009,available
cleveland,switzerland,missingness,oldpeak,0.0,0.04878048780487805,0.04878048780487805,available
cleveland,switzerland,missingness,slope,0.0,0.13821138211382114,0.13821138211382114,available
cleveland,switzerland,missingness,ca,0.013201320132013201,0.959349593495935,0.9461482733639217,available
cleveland,switzerland,missingness,thal,0.006600660066006601,0.42276422764227645,0.4161635675762698,available
cleveland,switzerland,standardized_mean_difference,age,54.43894389438944,55.31707317073171,0.09718780268778898,available
cleveland,switzerland,standardized_mean_difference,trestbps,131.68976897689768,130.20661157024793,-0.0733075587494271,available
cleveland,switzerland,standardized_mean_difference,chol,246.69306930693068,0.0,-6.738073661299281,available
cleveland,switzerland,standardized_mean_difference,thalach,149.6072607260726,121.55737704918033,-1.1460426780667579,available
cleveland,switzerland,standardized_mean_difference,oldpeak,1.0396039603960396,0.6538461538461537,-0.34758877140933286,available
cleveland,switzerland,total_variation_distance,sex,,,0.23883120019319004,available
cleveland,switzerland,total_variation_distance,cp,,,0.3215004427271996,available
cleveland,switzerland,total_variation_distance,fbs,,,0.6097560975609756,available
cleveland,switzerland,total_variation_distance,restecg,,,0.43153827577879744,available
cleveland,switzerland,total_variation_distance,exang,,,0.12042179827738872,available
cleveland,switzerland,total_variation_distance,slope,,,0.20035418175963937,available
cleveland,switzerland,total_variation_distance,ca,,,0.9461482733639217,available
cleveland,switzerland,total_variation_distance,thal,,,0.43805843999034044,available
cleveland,va,target_prevalence,disease_present,0.45874587458745875,0.745,0.28625412541254125,available
