feature,importance,repeat,fold
categorical__ca_0.0,-1.3904942833286436,0,0
categorical__ca_1.0,0.30934261688710296,0,0
categorical__ca_2.0,0.8052197567826684,0,0
categorical__ca_3.0,0.29147524447752304,0,0
categorical__cp_1.0,-0.46741499571507233,0,0
categorical__cp_2.0,0.19187538365547527,0,0
categorical__cp_3.0,-0.6822680528715434,0,0
categorical__cp_4.0,0.9733509997497921,0,0
categorical__exang_0.0,-0.39563415465392504,0,0
categorical__exang_1.0,0.41117748947257393,0,0
categorical__fbs_0.0,0.2463497041726961,0,0
categorical__fbs_1.0,-0.23080636935404222,0,0
categorical__restecg_0.0,-0.15597800156342737,0,0
categorical__restecg_1.0,0.07762983190802007,0,0
categorical__restecg_2.0,0.0938915044740511,0,0
categorical__sex_0.0,-0.7634608488907456,0,0
categorical__sex_1.0,0.7790041837093992,0,0
categorical__slope_1.0,-0.42400438619432773,0,0
categorical__slope_2.0,0.42187369616146314,0,0
categorical__slope_3.0,0.01767402485150909,0,0
categorical__thal_3.0,-0.2657856032996391,0,0
categorical__thal_6.0,-0.49909462802221116,0,0
categorical__thal_7.0,0.7804235661404956,0,0
numeric__age,-0.16278033176269618,0,0
numeric__chol,0.15138019556219456,0,0
numeric__oldpeak,0.5497985429512775,0,0
numeric__thalach,-0.4163095270215662,0,0
numeric__trestbps,0.4694208497630777,0,0
categorical__ca_0.0,-1.797411740581579,0,1
categorical__ca_1.0,0.32465571053856557,0,1
categorical__ca_2.0,1.0121011407558949,0,1
categorical__ca_3.0,0.4694400889972087,0,1
categorical__cp_1.0,-0.3508614112393337,0,1
categorical__cp_2.0,-0.3581825148789739,0,1
categorical__cp_3.0,-0.4769562471630868,0,1
categorical__cp_4.0,1.1947853729914863,0,1
categorical__exang_0.0,-0.28746736223081326,0,1
categorical__exang_1.0,0.2962525619408969,0,1
categorical__fbs_0.0,0.0697052353713682,0,1
categorical__fbs_1.0,-0.06092003566128565,0,1
categorical__restecg_0.0,-0.2942242862083202,0,1
categorical__restecg_1.0,0.05002224328321281,0,1
categorical__restecg_2.0,0.2529872426351964,0,1
categorical__sex_0.0,-0.7557576063911507,0,1
categorical__sex_1.0,0.7645428061012329,0,1
categorical__slope_1.0,-0.35179367855568566,0,1
categorical__slope_2.0,0.7275619267246356,0,1
categorical__slope_3.0,-0.36698304845885926,0,1
categorical__thal_3.0,-0.4689847481358794,0,1
categorical__thal_6.0,-0.16740770184249784,0,1
categorical__thal_7.0,0.6451776496884697,0,1
numeric__age,-0.20455510949798836,0,1
numeric__chol,0.25369161026297976,0,1
numeric__oldpeak,0.402560959488137,0,1
numeric__thalach,-0.4359107526813333,0,1
numeric__trestbps,0.5428778944756649,0,1
categorical__ca_0.0,-0.7044095941133094,0,2
categorical__ca_1.0,0.2921099845287573,0,2
categorical__ca_2.0,0.25793295903492924,0,2
categorical__ca_3.0,0.17610593794099277,0,2
categorical__cp_1.0,-0.2018716196207942,0,2
categorical__cp_2.0,-0.04857393692761859,0,2
categorical__cp_3.0,-0.43505347292077834,0,2
categorical__cp_4.0,0.7072383168605607,0,2
categorical__exang_0.0,-0.2840362832471914,0,2
categorical__exang_1.0,0.3057755706385629,0,2
categorical__fbs_0.0,0.1079203306876392,0,2
categorical__fbs_1.0,-0.08618104329626787,0,2
categorical__restecg_0.0,-0.13395075383290286,0,2
categorical__restecg_1.0,0.004854903896257822,0,2
categorical__restecg_2.0,0.15083513732801487,0,2
categorical__sex_0.0,-0.2461690354486683,0,2
categorical__sex_1.0,0.2679083228400382,0,2
categorical__slope_1.0,-0.27332847543922123,0,2
categorical__slope_2.0,0.2802658951620618,0,2
categorical__slope_3.0,0.014801867668529723,0,2
categorical__thal_3.0,-0.41898574964817875,0,2
categorical__thal_6.0,-0.06546822485963522,0,2
categorical__thal_7.0,0.5061932618991837,0,2
numeric__age,0.04211281614050044,0,2
numeric__chol,0.133537065979062,0,2
numeric__oldpeak,0.33073893280100164,0,2
numeric__thalach,-0.3258495930374809,0,2
numeric__trestbps,0.1842468774807603,0,2
categorical__ca_0.0,-1.276779492479576,0,3
categorical__ca_1.0,0.5712698383196982,0,3
categorical__ca_2.0,1.0674057326323276,0,3
categorical__ca_3.0,-0.3845434941597329,0,3
categorical__cp_1.0,-0.9085323786355612,0,3
categorical__cp_2.0,0.2964562047472348,0,3
categorical__cp_3.0,-0.4850778110795634,0,3
categorical__cp_4.0,1.0745065692806055,0,3
categorical__exang_0.0,-0.42456242758257484,0,3
categorical__exang_1.0,0.40191501189529605,0,3
categorical__fbs_0.0,0.04894044971715024,0,3
categorical__fbs_1.0,-0.0715878654044424,0,3
categorical__restecg_0.0,-0.3410067156112374,0,3
categorical__restecg_1.0,0.1455163244328807,0,3
categorical__restecg_2.0,0.1728429754910741,0,3
categorical__sex_0.0,-0.6637719227234536,0,3
categorical__sex_1.0,0.6411245070361709,0,3
categorical__slope_1.0,-0.3411624487300849,0,3
categorical__slope_2.0,0.45525629164041365,0,3
categorical__slope_3.0,-0.13674125859761382,0,3
categorical__thal_3.0,-0.5428627207433001,0,3
categorical__thal_6.0,-0.2505454719176871,0,3
categorical__thal_7.0,0.7707607769736964,0,3
numeric__age,-0.10994908577064418,0,3
numeric__chol,0.22565822455016007,0,3
numeric__oldpeak,0.6893721058798189,0,3
numeric__thalach,-0.39966250894913224,0,3
numeric__trestbps,0.19533049671326555,0,3
categorical__ca_0.0,-1.5406738160839306,0,4
categorical__ca_1.0,0.24831354967445038,0,4
categorical__ca_2.0,0.7853889527230302,0,4
categorical__ca_3.0,0.5098175863066342,0,4
categorical__cp_1.0,-0.7542855019531445,0,4
categorical__cp_2.0,0.03949182145369488,0,4
categorical__cp_3.0,-0.5844907731127189,0,4
categorical__cp_4.0,1.3021307262323463,0,4
categorical__exang_0.0,-0.2648602603825497,0,4
categorical__exang_1.0,0.2677065330027315,0,4
categorical__fbs_0.0,-0.002846624503874988,0,4
categorical__fbs_1.0,0.005692897124060705,0,4
categorical__restecg_0.0,-0.23973160832304108,0,4
categorical__restecg_1.0,0.1194024257312763,0,4
categorical__restecg_2.0,0.12317545521194506,0,4
categorical__sex_0.0,-0.5559593376765629,0,4
categorical__sex_1.0,0.5588056102967558,0,4
categorical__slope_1.0,-0.44196825799061595,0,4
categorical__slope_2.0,0.5053107521083224,0,4
categorical__slope_3.0,-0.06049622149753162,0,4
categorical__thal_3.0,-0.5634902711856203,0,4
categorical__thal_6.0,-0.35857038928800916,0,4
categorical__thal_7.0,0.9249069330938042,0,4
numeric__age,-0.12197923887373549,0,4
numeric__chol,0.13715207087661793,0,4
numeric__oldpeak,0.33922932909162085,0,4
numeric__thalach,-0.3774841463388461,0,4
numeric__trestbps,0.282713732977779,0,4
categorical__ca_0.0,-0.6561727630040475,1,0
categorical__ca_1.0,0.211534337435274,1,0
categorical__ca_2.0,0.30876498539171426,1,0
categorical__ca_3.0,0.14196206743633444,1,0
categorical__cp_1.0,-0.19987423599971407,1,0
categorical__cp_2.0,-0.0430307115464351,1,0
categorical__cp_3.0,-0.3484542532928192,1,0
categorical__cp_4.0,0.5974478280982422,1,0
categorical__exang_0.0,-0.312543198825611,1,0
categorical__exang_1.0,0.31863182608488627,1,0
categorical__fbs_0.0,0.03147331397644413,1,0
categorical__fbs_1.0,-0.025384686717168023,1,0
categorical__restecg_0.0,-0.16312347148402453,1,0
categorical__restecg_1.0,0.02384576049074322,1,0
categorical__restecg_2.0,0.14536633825255527,1,0
categorical__sex_0.0,-0.2849237545485141,1,0
categorical__sex_1.0,0.29101238180778993,1,0
categorical__slope_1.0,-0.24886777788071174,1,0
categorical__slope_2.0,0.31688803826523015,1,0
categorical__slope_3.0,-0.06193163312524409,1,0
categorical__thal_3.0,-0.4355903142149381,1,0
categorical__thal_6.0,-0.010286673112155486,1,0
categorical__thal_7.0,0.45196561458636775,1,0
numeric__age,0.011552436686559897,1,0
numeric__chol,0.1576872509649663,1,0
numeric__oldpeak,0.33101127609482855,1,0
numeric__thalach,-0.3260912124600042,1,0
numeric__trestbps,0.1292661538848671,1,0
categorical__ca_0.0,-1.4881651783144376,1,1
categorical__ca_1.0,0.4860787212297876,1,1
categorical__ca_2.0,0.7551464061537673,1,1
categorical__ca_3.0,0.144906312163807,1,1
categorical__cp_1.0,-1.3361640537203743,1,1
categorical__cp_2.0,0.30208940330033685,1,1
categorical__cp_3.0,-0.41518964005799947,1,1
categorical__cp_4.0,1.3472305517109568,1,1
categorical__exang_0.0,-0.3505133877181784,1,1
categorical__exang_1.0,0.24847964895109612,1,1
categorical__fbs_0.0,-0.0032539084384167255,1,1
categorical__fbs_1.0,-0.09877983032866922,1,1
categorical__restecg_0.0,-0.43362437030966344,1,1
categorical__restecg_1.0,0.09726662994876968,1,1
categorical__restecg_2.0,0.23432400159380767,1,1
categorical__sex_0.0,-0.7275967771043372,1,1
categorical__sex_1.0,0.6255630383372576,1,1
categorical__slope_1.0,-0.2994299990760307,1,1
categorical__slope_2.0,0.7153231357234744,1,1
categorical__slope_3.0,-0.5179268754145292,1,1
categorical__thal_3.0,-0.5081068250808626,1,1
categorical__thal_6.0,-0.42918678095387053,1,1
categorical__thal_7.0,0.8352598672676482,1,1
numeric__age,-0.09460507972450766,1,1
numeric__chol,0.30537517223553473,1,1
numeric__oldpeak,0.5934750842011085,1,1
numeric__thalach,-0.26639676353535624,1,1
numeric__trestbps,0.5370766026053088,1,1
categorical__ca_0.0,-0.7502548778416601,1,2
categorical__ca_1.0,0.2842302635896245,1,2
categorical__ca_2.0,0.31574729662307455,1,2
categorical__ca_3.0,0.18827478987332955,1,2
categorical__cp_1.0,-0.09407139235559654,1,2
categorical__cp_2.0,-0.10630180769242566,1,2
categorical__cp_3.0,-0.3931551025817198,1,2
categorical__cp_4.0,0.6315257748741101,1,2
categorical__exang_0.0,-0.2435383627073021,1,2
categorical__exang_1.0,0.2815358349516716,1,2
categorical__fbs_0.0,0.07241244673220992,1,2
categorical__fbs_1.0,-0.03441497448784001,1,2
categorical__restecg_0.0,-0.12830108560588038,1,2
categorical__restecg_1.0,0.017050129027802143,1,2
categorical__restecg_2.0,0.14924842882244713,1,2
categorical__sex_0.0,-0.2997795555023598,1,2
categorical__sex_1.0,0.33777702774672835,1,2
categorical__slope_1.0,-0.20984864663540498,1,2
categorical__slope_2.0,0.21582121989156047,1,2
categorical__slope_3.0,0.0320248989882131,1,2
categorical__thal_3.0,-0.435704842901017,1,2
categorical__thal_6.0,-0.030534199013930508,1,2
categorical__thal_7.0,0.5042365141593153,1,2
numeric__age,0.05999040298857526,1,2
numeric__chol,0.0414186981732272,1,2
numeric__oldpeak,0.3419991565458881,1,2
numeric__thalach,-0.35643908792945184,1,2
numeric__trestbps,0.21688181770727905,1,2
categorical__ca_0.0,-0.7458624061399066,1,3
categorical__ca_1.0,0.26061300817871663,1,3
categorical__ca_2.0,0.37736385303787073,1,3
categorical__ca_3.0,0.1418721934480218,1,3
categorical__cp_1.0,-0.16048316828840126,1,3
categorical__cp_2.0,-0.09137646695395134,1,3
categorical__cp_3.0,-0.33641972148684113,1,3
categorical__cp_4.0,0.6222660052538972,1,3
categorical__exang_0.0,-0.25412592572465253,1,3
categorical__exang_1.0,0.28811257424935566,1,3
categorical__fbs_0.0,0.054252893952529045,1,3
categorical__fbs_1.0,-0.020266245427826835,1,3
categorical__restecg_0.0,-0.10039643218247919,1,3
categorical__restecg_1.0,0.012046631972254869,1,3
categorical__restecg_2.0,0.12233644873492651,1,3
categorical__sex_0.0,-0.4086248176322912,1,3
categorical__sex_1.0,0.4426114661569946,1,3
categorical__slope_1.0,-0.21473368741041637,1,3
categorical__slope_2.0,0.25778367194586244,1,3
categorical__slope_3.0,-0.009063336010743744,1,3
categorical__thal_3.0,-0.4243439497158198,1,3
categorical__thal_6.0,0.009009287455872714,1,3
categorical__thal_7.0,0.44932131078464976,1,3
numeric__age,0.00926176854906913,1,3
numeric__chol,0.14438687127059202,1,3
numeric__oldpeak,0.4344760612875461,1,3
numeric__thalach,-0.3752750754157584,1,3
numeric__trestbps,0.26917775473042854,1,3
categorical__ca_0.0,-0.6312925213028949,1,4
categorical__ca_1.0,0.23147053292420222,1,4
categorical__ca_2.0,0.3082964961050113,1,4
categorical__ca_3.0,0.08530205932172531,1,4
categorical__cp_1.0,-0.10550223519566605,1,4
categorical__cp_2.0,-0.1975729744745278,1,4
categorical__cp_3.0,-0.35691773860800813,1,4
categorical__cp_4.0,0.6537695153262455,1,4
categorical__exang_0.0,-0.277957882871492,1,4
categorical__exang_1.0,0.27173444991953627,1,4
categorical__fbs_0.0,0.05280303099160835,1,4
categorical__fbs_1.0,-0.059026463943564665,1,4
categorical__restecg_0.0,-0.09537382804709435,1,4
categorical__restecg_1.0,-0.003070748610076126,1,4
categorical__restecg_2.0,0.09222114370521398,1,4
categorical__sex_0.0,-0.353848692437172,1,4
categorical__sex_1.0,0.3476252594852151,1,4
categorical__slope_1.0,-0.23276792523146275,1,4
categorical__slope_2.0,0.2809642758502948,1,4
categorical__slope_3.0,-0.05441978357078865,1,4
categorical__thal_3.0,-0.43945638828443095,1,4
categorical__thal_6.0,-0.06456707615554311,1,4
categorical__thal_7.0,0.49780003148801727,1,4
numeric__age,0.029750095502109553,1,4
numeric__chol,0.03374819376306993,1,4
numeric__oldpeak,0.42194061439458314,1,4
numeric__thalach,-0.3842792710003149,1,4
numeric__trestbps,0.05815391045910979,1,4
categorical__ca_0.0,-0.6732974126845543,2,0
categorical__ca_1.0,0.15646151341375608,2,0
categorical__ca_2.0,0.3240316179903186,2,0
categorical__ca_3.0,0.18355598938294768,2,0
categorical__cp_1.0,-0.2720699099157751,2,0
categorical__cp_2.0,-0.07546131135087238,2,0
categorical__cp_3.0,-0.28729392558734546,2,0
categorical__cp_4.0,0.6255768549564616,2,0
categorical__exang_0.0,-0.3300974040285122,2,0
categorical__exang_1.0,0.32084911213098044,2,0
categorical__fbs_0.0,-0.02131910813267481,2,0
categorical__fbs_1.0,0.012070816235142836,2,0
categorical__restecg_0.0,-0.11443766385196015,2,0
categorical__restecg_1.0,0.008652188046554115,2,0
categorical__restecg_2.0,0.09653718390787432,2,0
categorical__sex_0.0,-0.36664779977013995,2,0
categorical__sex_1.0,0.357399507872609,2,0
categorical__slope_1.0,-0.1737029996780057,2,0
categorical__slope_2.0,0.2099769362772453,2,0
categorical__slope_3.0,-0.045522228496771226,2,0
categorical__thal_3.0,-0.43340511055692993,2,0
categorical__thal_6.0,-0.01232212176805075,2,0
categorical__thal_7.0,0.43647894042744956,2,0
numeric__age,-0.004289133154398403,2,0
numeric__chol,0.11644065567151385,2,0
numeric__oldpeak,0.3499437724129464,2,0
numeric__thalach,-0.3298069150821326,2,0
numeric__trestbps,0.20212043256251,2,0
categorical__ca_0.0,-1.5158794809374772,2,1
categorical__ca_1.0,0.20187416427160523,2,1
categorical__ca_2.0,1.1387868986969079,2,1
categorical__ca_3.0,0.14943717451862415,2,1
categorical__cp_1.0,-0.655537876020464,2,1
categorical__cp_2.0,0.051890259513904434,2,1
categorical__cp_3.0,-0.40849051636450084,2,1
categorical__cp_4.0,0.9863568894207104,2,1
categorical__exang_0.0,-0.20678089413856798,2,1
categorical__exang_1.0,0.18099965068822957,2,1
categorical__fbs_0.0,0.27282610909105076,2,1
categorical__fbs_1.0,-0.298607352541389,2,1
categorical__restecg_0.0,-0.3166466934075086,2,1
categorical__restecg_1.0,0.09936542191069031,2,1
categorical__restecg_2.0,0.19150002804646943,2,1
categorical__sex_0.0,-0.5510282137138846,2,1
categorical__sex_1.0,0.5252469702635346,2,1
categorical__slope_1.0,-0.3710934771633104,2,1
categorical__slope_2.0,0.5092003146463857,2,1
categorical__slope_3.0,-0.16388808093342666,2,1
categorical__thal_3.0,-0.45026625520491564,2,1
categorical__thal_6.0,-0.49453823752758475,2,1
categorical__thal_7.0,0.9190232492821564,2,1
numeric__age,-0.15103834801970933,2,1
numeric__chol,0.21688691221050982,2,1
numeric__oldpeak,0.4601177421413257,2,1
numeric__thalach,-0.42192163276402256,2,1
numeric__trestbps,0.38409323246751453,2,1
categorical__ca_0.0,-0.8176091989619004,2,2
categorical__ca_1.0,0.31202386133659926,2,2
categorical__ca_2.0,0.3680111884816875,2,2
categorical__ca_3.0,0.13169978088551765,2,2
categorical__cp_1.0,-0.15502950861988538,2,2
categorical__cp_2.0,-0.0918244368248391,2,2
categorical__cp_3.0,-0.41152235897949213,2,2
categorical__cp_4.0,0.6525019361661195,2,2
categorical__exang_0.0,-0.2679283341011728,2,2
categorical__exang_1.0,0.2620539658430763,2,2
categorical__fbs_0.0,0.014800117574552147,2,2
categorical__fbs_1.0,-0.020674485832647242,2,2
categorical__restecg_0.0,-0.102214762815634,2,2
categorical__restecg_1.0,0.011400209184735822,2,2
categorical__restecg_2.0,0.08494018537280197,2,2
categorical__sex_0.0,-0.35280629518941153,2,2
categorical__sex_1.0,0.3469319269313157,2,2
categorical__slope_1.0,-0.23168880428662272,2,2
categorical__slope_2.0,0.2540445953941016,2,2
categorical__slope_3.0,-0.028230159365575182,2,2
categorical__thal_3.0,-0.48788271373270986,2,2
categorical__thal_6.0,-0.00010972616918432924,2,2
categorical__thal_7.0,0.48211807164379816,2,2
numeric__age,-0.0043290968459166485,2,2
numeric__chol,0.08070406496290684,2,2
numeric__oldpeak,0.45194848840673596,2,2
numeric__thalach,-0.34626106521358496,2,2
numeric__trestbps,0.1493427409048779,2,2
categorical__ca_0.0,-0.6815955627591883,2,3
categorical__ca_1.0,0.24993596017002376,2,3
categorical__ca_2.0,0.30445786164025335,2,3
categorical__ca_3.0,0.11842943359196206,2,3
categorical__cp_1.0,-0.16908868104847538,2,3
categorical__cp_2.0,-0.11970633702488473,2,3
categorical__cp_3.0,-0.3604434234075354,2,3
categorical__cp_4.0,0.640466134123946,2,3
categorical__exang_0.0,-0.3156274061519136,2,3
categorical__exang_1.0,0.3068550987949642,2,3
categorical__fbs_0.0,0.055648473395370726,2,3
categorical__fbs_1.0,-0.0644207807523211,2,3
categorical__restecg_0.0,-0.19517172829694984,2,3
categorical__restecg_1.0,0.02521880801059725,2,3
categorical__restecg_2.0,0.16118061292940353,2,3
categorical__sex_0.0,-0.341136250441191,2,3
categorical__sex_1.0,0.3323639430842414,2,3
categorical__slope_1.0,-0.2098345249639204,2,3
categorical__slope_2.0,0.28781142888211025,2,3
categorical__slope_3.0,-0.08674921127513925,2,3
categorical__thal_3.0,-0.44539618347574433,2,3
categorical__thal_6.0,-0.03047402572204357,2,3
categorical__thal_7.0,0.46709790184083877,2,3
numeric__age,0.04478783492525504,2,3
numeric__chol,0.16005207001654748,2,3
numeric__oldpeak,0.3460784571664406,2,3
numeric__thalach,-0.3801978902518778,2,3
numeric__trestbps,0.1982632941871233,2,3
categorical__ca_0.0,-0.6643528288548901,2,4
categorical__ca_1.0,0.3184565805355467,2,4
categorical__ca_2.0,0.23122853377235209,2,4
categorical__ca_3.0,0.13704240041639032,2,4
categorical__cp_1.0,-0.15052101603516901,2,4
categorical__cp_2.0,-0.09961499238762371,2,4
categorical__cp_3.0,-0.4056586198210275,2,4
categorical__cp_4.0,0.6781693141132195,2,4
categorical__exang_0.0,-0.2757043318891209,2,4
categorical__exang_1.0,0.2980790177585205,2,4
categorical__fbs_0.0,0.0617707938924718,2,4
categorical__fbs_1.0,-0.03939610802307271,2,4
categorical__restecg_0.0,-0.12952348631990265,2,4
categorical__restecg_1.0,0.009529531308085686,2,4
categorical__restecg_2.0,0.14236864088121637,2,4
categorical__sex_0.0,-0.3636256003884754,2,4
categorical__sex_1.0,0.3860002862578744,2,4
categorical__slope_1.0,-0.3161821188648399,2,4
categorical__slope_2.0,0.3239213171513186,2,4
categorical__slope_3.0,0.014635487582920598,2,4
categorical__thal_3.0,-0.41136953877823085,2,4
categorical__thal_6.0,-0.042576035680711125,2,4
categorical__thal_7.0,0.4763202603283414,2,4
numeric__age,0.05357839075961308,2,4
numeric__chol,0.05718944738355139,2,4
numeric__oldpeak,0.4057275683431332,2,4
numeric__thalach,-0.3069808313021695,2,4
numeric__trestbps,0.22524174583835435,2,4
categorical__ca_0.0,-0.6353203684454427,3,0
categorical__ca_1.0,0.26500785109756403,3,0
categorical__ca_2.0,0.27795521373903714,3,0
categorical__ca_3.0,0.07128614998103529,3,0
categorical__cp_1.0,-0.22937929884156083,3,0
categorical__cp_2.0,-0.01994924708165571,3,0
categorical__cp_3.0,-0.37284455493725477,3,0
categorical__cp_4.0,0.601101947232664,3,0
categorical__exang_0.0,-0.2235088369278501,3,0
categorical__exang_1.0,0.20243768330004355,3,0
categorical__fbs_0.0,-0.019803070293309036,3,0
categorical__fbs_1.0,-0.001268083334498163,3,0
categorical__restecg_0.0,-0.11186229432187836,3,0
categorical__restecg_1.0,0.00680193937087388,3,0
categorical__restecg_2.0,0.08398920132319711,3,0
categorical__sex_0.0,-0.34716625516132815,3,0
categorical__sex_1.0,0.326095101533521,3,0
categorical__slope_1.0,-0.27438624277303203,3,0
categorical__slope_2.0,0.31386060956452827,3,0
categorical__slope_3.0,-0.06054552041930385,3,0
categorical__thal_3.0,-0.503805278815728,3,0
categorical__thal_6.0,-0.032202624062342776,3,0
categorical__thal_7.0,0.5149367492502629,3,0
numeric__age,0.08534199463373363,3,0
numeric__chol,0.2133997084182464,3,0
numeric__oldpeak,0.2915695530103467,3,0
numeric__thalach,-0.36399137137301757,3,0
numeric__trestbps,0.2158489948476205,3,0
categorical__ca_0.0,-0.7051221022589341,3,1
categorical__ca_1.0,0.24995372788483475,3,1
categorical__ca_2.0,0.3137842616537938,3,1
categorical__ca_3.0,0.1274749035943359,3,1
categorical__cp_1.0,-0.17335947167576984,3,1
categorical__cp_2.0,-0.09030682886777229,3,1
categorical__cp_3.0,-0.3959625270084697,3,1
categorical__cp_4.0,0.6457196184260426,3,1
categorical__exang_0.0,-0.2378628113181507,3,1
categorical__exang_1.0,0.2239536021921817,3,1
categorical__fbs_0.0,0.07248151045736126,3,1
categorical__fbs_1.0,-0.08639071958333064,3,1
categorical__restecg_0.0,-0.13557510156516261,3,1
categorical__restecg_1.0,0.006177942423929115,3,1
categorical__restecg_2.0,0.11548795001526424,3,1
categorical__sex_0.0,-0.35712559428278495,3,1
categorical__sex_1.0,0.343216385156816,3,1
categorical__slope_1.0,-0.2149608543286447,3,1
categorical__slope_2.0,0.23468245269363636,3,1
categorical__slope_3.0,-0.033630807490960896,3,1
categorical__thal_3.0,-0.35314436963104123,3,1
categorical__thal_6.0,0.0327451101404916,3,1
