attribute,group,n,positive_count,prevalence,threshold_name,threshold,status,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,average_precision,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive,roc_auc_status,cohort,evidence
sex,female,97,25,0.25773195876288657,default,0.5,available,0.9072164948453608,0.846111111111111,0.72,0.9722222222222222,0.9,0.8,0.92,0.8636325437735382,0.2953248691192209,0.0856480314901462,70.0,2.0,7.0,18.0,available,cleveland,out_of_fold
sex,female,97,25,0.25773195876288657,screening,0.3938657755782479,available,0.8969072164948454,0.8652777777777778,0.8,0.9305555555555556,0.8,0.8,0.92,0.8636325437735382,0.2953248691192209,0.0856480314901462,67.0,5.0,5.0,20.0,available,cleveland,out_of_fold
sex,male,206,114,0.5533980582524272,default,0.5,available,0.8300970873786407,0.8297101449275363,0.8333333333333334,0.8260869565217391,0.8558558558558559,0.8444444444444444,0.8983600305110604,0.9185301139833753,0.40054513674764475,0.1268749873488073,76.0,16.0,19.0,95.0,available,cleveland,out_of_fold
sex,male,206,114,0.5533980582524272,screening,0.3938657755782479,available,0.7961165048543689,0.7874713958810069,0.868421052631579,0.7065217391304348,0.7857142857142857,0.825,0.8983600305110604,0.9185301139833753,0.40054513674764475,0.1268749873488073,65.0,27.0,15.0,99.0,available,cleveland,out_of_fold
age_band,under_45,55,14,0.2545454545454545,default,0.5,available,0.9272727272727272,0.8806620209059233,0.7857142857142857,0.975609756097561,0.9166666666666666,0.8461538461538461,0.975609756097561,0.9435045948203842,0.24590936088945328,0.06800462586241104,40.0,1.0,3.0,11.0,available,cleveland,out_of_fold
age_band,under_45,55,14,0.2545454545454545,screening,0.3938657755782479,available,0.8909090909090909,0.8562717770034843,0.7857142857142857,0.926829268292683,0.7857142857142857,0.7857142857142857,0.975609756097561,0.9435045948203842,0.24590936088945328,0.06800462586241104,38.0,3.0,3.0,11.0,available,cleveland,out_of_fold
age_band,45_to_64,207,105,0.5072463768115942,default,0.5,available,0.8309178743961353,0.8315126050420167,0.7904761904761904,0.8725490196078431,0.8645833333333334,0.8258706467661692,0.8943977591036414,0.9055087317304704,0.4055644168190019,0.12897828850123588,89.0,13.0,22.0,83.0,available,cleveland,out_of_fold
age_band,45_to_64,207,105,0.5072463768115942,screening,0.3938657755782479,available,0.8067632850241546,0.8063025210084034,0.8380952380952381,0.7745098039215687,0.7927927927927928,0.8148148148148148,0.8943977591036414,0.9055087317304704,0.4055644168190019,0.12897828850123588,79.0,23.0,17.0,88.0,available,cleveland,out_of_fold
age_band,65_plus,41,20,0.4878048780487805,default,0.5,available,0.8780487804878049,0.8797619047619047,0.95,0.8095238095238095,0.8260869565217391,0.8837209302325582,0.9619047619047619,0.9634365519223003,0.33370637424697375,0.09769137332219643,17.0,4.0,1.0,19.0,available,cleveland,out_of_fold
age_band,65_plus,41,20,0.4878048780487805,screening,0.3938657755782479,available,0.8536585365853658,0.8571428571428572,1.0,0.7142857142857143,0.7692307692307693,0.8695652173913043,0.9619047619047619,0.9634365519223003,0.33370637424697375,0.09769137332219643,15.0,6.0,0.0,20.0,available,cleveland,out_of_fold
sex,female,81,12,0.14814814814814814,default,0.5,available,0.8765432098765432,0.7210144927536232,0.5,0.9420289855072463,0.6,0.5454545454545454,0.8514492753623187,0.6355422463554736,0.3033872923695718,0.08880574976991985,65.0,4.0,6.0,6.0,available,hungary,external
sex,female,81,12,0.14814814814814814,screening,0.3938657755782479,available,0.8641975308641975,0.713768115942029,0.5,0.927536231884058,0.5454545454545454,0.5217391304347826,0.8514492753623187,0.6355422463554736,0.3033872923695718,0.08880574976991985,64.0,5.0,6.0,6.0,available,hungary,external
sex,male,213,94,0.4413145539906103,default,0.5,available,0.8075117370892019,0.7908546397282317,0.648936170212766,0.9327731092436975,0.8840579710144928,0.7484662576687117,0.8879849812265332,0.8809763197806715,0.44047574235356207,0.13793142897711227,111.0,8.0,33.0,61.0,available,hungary,external
sex,male,213,94,0.4413145539906103,screening,0.3938657755782479,available,0.8262910798122066,0.8177185767924191,0.7446808510638298,0.8907563025210085,0.8433734939759037,0.7909604519774012,0.8879849812265332,0.8809763197806715,0.44047574235356207,0.13793142897711227,106.0,13.0,24.0,70.0,available,hungary,external
age_band,under_45,96,25,0.2604166666666667,default,0.5,available,0.8854166666666666,0.78,0.56,1.0,1.0,0.717948717948718,0.9115492957746478,0.8648592796468181,0.3371320495251486,0.09938184601208282,71.0,0.0,11.0,14.0,available,hungary,external
age_band,under_45,96,25,0.2604166666666667,screening,0.3938657755782479,available,0.90625,0.8200000000000001,0.64,1.0,1.0,0.7804878048780488,0.9115492957746478,0.8648592796468181,0.3371320495251486,0.09938184601208282,71.0,0.0,9.0,16.0,available,hungary,external
age_band,45_to_64,194,77,0.39690721649484534,default,0.5,available,0.7938144329896907,0.7668997668997669,0.6363636363636364,0.8974358974358975,0.8032786885245902,0.7101449275362319,0.8786768786768787,0.8492034516378731,0.4390459253429434,0.1385529164515636,105.0,12.0,28.0,49.0,available,hungary,external
age_band,45_to_64,194,77,0.39690721649484534,screening,0.3938657755782479,available,0.7989690721649485,0.7867132867132867,0.7272727272727273,0.8461538461538461,0.7567567567567568,0.7417218543046358,0.8786768786768787,0.8492034516378731,0.4390459253429434,0.1385529164515636,99.0,18.0,21.0,56.0,available,hungary,external
age_band,65_plus,4,4,1.0,default,0.5,underpowered,,,,,,,,,,,,,,,unavailable: subgroup underpowered,hungary,external
age_band,65_plus,4,4,1.0,screening,0.3938657755782479,underpowered,,,,,,,,,,,,,,,unavailable: subgroup underpowered,hungary,external
sex,female,10,10,1.0,default,0.5,underpowered,,,,,,,,,,,,,,,unavailable: subgroup underpowered,switzerland,external
sex,female,10,10,1.0,screening,0.3938657755782479,underpowered,,,,,,,,,,,,,,,unavailable: subgroup underpowered,switzerland,external
sex,male,113,105,0.9292035398230089,default,0.5,available,0.504424778761062,0.6755952380952381,0.47619047619047616,0.875,0.9803921568627451,0.6410256410256411,0.7797619047619048,0.976804664586164,0.8424183190029971,0.30518895960083237,7.0,1.0,55.0,50.0,available,switzerland,external
sex,male,113,105,0.9292035398230089,screening,0.3938657755782479,available,0.6194690265486725,0.7375,0.6,0.875,0.984375,0.7455621301775148,0.7797619047619048,0.976804664586164,0.8424183190029971,0.30518895960083237,7.0,1.0,42.0,63.0,available,switzerland,external
age_band,under_45,17,16,0.9411764705882353,default,0.5,underpowered,,,,,,,,,,,,,,,unavailable: subgroup underpowered,switzerland,external
age_band,under_45,17,16,0.9411764705882353,screening,0.3938657755782479,underpowered,,,,,,,,,,,,,,,unavailable: subgroup underpowered,switzerland,external
age_band,45_to_64,90,85,0.9444444444444444,default,0.5,available,0.4888888888888889,0.7294117647058823,0.4588235294117647,1.0,1.0,0.6290322580645161,0.8258823529411764,0.9883880199105106,0.8720627980869436,0.31441429302777185,5.0,0.0,46.0,39.0,available,switzerland,external
age_band,45_to_64,90,85,0.9444444444444444,screening,0.3938657755782479,available,0.6,0.788235294117647,0.5764705882352941,1.0,1.0,0.7313432835820896,0.8258823529411764,0.9883880199105106,0.8720627980869436,0.31441429302777185,5.0,0.0,36.0,49.0,available,switzerland,external
age_band,65_plus,16,14,0.875,default,0.5,underpowered,,,,,,,,,,,,,,,unavailable: subgroup underpowered,switzerland,external
age_band,65_plus,16,14,0.875,screening,0.3938657755782479,underpowered,,,,,,,,,,,,,,,unavailable: subgroup underpowered,switzerland,external
sex,female,6,3,0.5,default,0.5,underpowered,,,,,,,,,,,,,,,unavailable: subgroup underpowered,va,external
sex,female,6,3,0.5,screening,0.3938657755782479,underpowered,,,,,,,,,,,,,,,unavailable: subgroup underpowered,va,external
