cohort,cluster,n,status,feature,statistic,level,value
cleveland,0,139,available,age,median,,60.0
cleveland,0,139,available,age,q1,,56.0
cleveland,0,139,available,age,q3,,65.0
cleveland,0,139,available,age,standardized_median,,0.6162698937455408
cleveland,0,139,available,ca,proportion,0.0,0.37410071942446044
cleveland,0,139,available,ca,proportion,1.0,0.302158273381295
cleveland,0,139,available,ca,proportion,2.0,0.2014388489208633
cleveland,0,139,available,ca,proportion,3.0,0.1223021582733813
cleveland,0,139,available,chol,median,,254.0
cleveland,0,139,available,chol,q1,,218.0
cleveland,0,139,available,chol,q3,,288.0
cleveland,0,139,available,chol,standardized_median,,0.1413567784605664
cleveland,0,139,available,cp,proportion,1.0,0.08633093525179857
cleveland,0,139,available,cp,proportion,2.0,0.04316546762589928
cleveland,0,139,available,cp,proportion,3.0,0.19424460431654678
cleveland,0,139,available,cp,proportion,4.0,0.6762589928057554
cleveland,0,139,available,exang,proportion,0.0,0.45323741007194246
cleveland,0,139,available,exang,proportion,1.0,0.5467625899280576
cleveland,0,139,available,fbs,proportion,0.0,0.8345323741007195
cleveland,0,139,available,fbs,proportion,1.0,0.16546762589928057
cleveland,0,139,available,oldpeak,median,,1.6
cleveland,0,139,available,oldpeak,q1,,0.95
cleveland,0,139,available,oldpeak,q3,,2.6
cleveland,0,139,available,oldpeak,standardized_median,,0.4834511725456472
cleveland,0,139,available,restecg,proportion,0.0,0.3669064748201439
cleveland,0,139,available,restecg,proportion,1.0,0.02877697841726619
cleveland,0,139,available,restecg,proportion,2.0,0.60431654676259
cleveland,0,139,available,sex,proportion,0.0,0.302158273381295
cleveland,0,139,available,sex,proportion,1.0,0.697841726618705
cleveland,0,139,available,slope,proportion,1.0,0.17985611510791366
cleveland,0,139,available,slope,proportion,2.0,0.7194244604316546
cleveland,0,139,available,slope,proportion,3.0,0.10071942446043165
cleveland,0,139,available,thal,proportion,3.0,0.3597122302158273
cleveland,0,139,available,thal,proportion,6.0,0.10071942446043165
cleveland,0,139,available,thal,proportion,7.0,0.539568345323741
cleveland,0,139,available,thalach,median,,136.0
cleveland,0,139,available,thalach,q1,,120.5
cleveland,0,139,available,thalach,q3,,147.5
cleveland,0,139,available,thalach,standardized_median,,-0.5958368844684672
cleveland,0,139,available,trestbps,median,,136.0
cleveland,0,139,available,trestbps,q1,,123.5
cleveland,0,139,available,trestbps,q3,,150.0
cleveland,0,139,available,trestbps,standardized_median,,0.24530813372276006
cleveland,1,164,available,age,median,,51.0
cleveland,1,164,available,age,q1,,44.0
cleveland,1,164,available,age,q3,,56.0
cleveland,1,164,available,age,standardized_median,,-0.38109983933700503
cleveland,1,164,available,ca,proportion,0.0,0.7560975609756098
cleveland,1,164,available,ca,proportion,1.0,0.1402439024390244
cleveland,1,164,available,ca,proportion,2.0,0.06097560975609756
cleveland,1,164,available,ca,proportion,3.0,0.018292682926829267
cleveland,1,164,available,ca,proportion,missing,0.024390243902439025
cleveland,1,164,available,chol,median,,234.0
cleveland,1,164,available,chol,q1,,204.75
cleveland,1,164,available,chol,q3,,263.25
cleveland,1,164,available,chol,standardized_median,,-0.24555472897892366
cleveland,1,164,available,cp,proportion,1.0,0.06707317073170732
cleveland,1,164,available,cp,proportion,2.0,0.2682926829268293
cleveland,1,164,available,cp,proportion,3.0,0.3597560975609756
cleveland,1,164,available,cp,proportion,4.0,0.3048780487804878
cleveland,1,164,available,exang,proportion,0.0,0.8597560975609756
cleveland,1,164,available,exang,proportion,1.0,0.1402439024390244
cleveland,1,164,available,fbs,proportion,0.0,0.8658536585365854
cleveland,1,164,available,fbs,proportion,1.0,0.13414634146341464
cleveland,1,164,available,oldpeak,median,,0.0
cleveland,1,164,available,oldpeak,q1,,0.0
cleveland,1,164,available,oldpeak,q3,,0.725
cleveland,1,164,available,oldpeak,standardized_median,,-0.8968617158532323
cleveland,1,164,available,restecg,proportion,0.0,0.6097560975609756
cleveland,1,164,available,restecg,proportion,2.0,0.3902439024390244
cleveland,1,164,available,sex,proportion,0.0,0.3353658536585366
cleveland,1,164,available,sex,proportion,1.0,0.6646341463414634
cleveland,1,164,available,slope,proportion,1.0,0.7134146341463414
cleveland,1,164,available,slope,proportion,2.0,0.24390243902439024
cleveland,1,164,available,slope,proportion,3.0,0.042682926829268296
cleveland,1,164,available,thal,proportion,3.0,0.7073170731707317
cleveland,1,164,available,thal,proportion,6.0,0.024390243902439025
cleveland,1,164,available,thal,proportion,7.0,0.25609756097560976
cleveland,1,164,available,thal,proportion,missing,0.012195121951219513
cleveland,1,164,available,thalach,median,,163.0
cleveland,1,164,available,thalach,q1,,156.0
cleveland,1,164,available,thalach,q3,,173.0
cleveland,1,164,available,thalach,standardized_median,,0.5864433851984087
cleveland,1,164,available,trestbps,median,,128.0
cleveland,1,164,available,trestbps,q1,,120.0
cleveland,1,164,available,trestbps,q3,,136.5
cleveland,1,164,available,trestbps,standardized_median,,-0.20999578369222408
