component,feature,loading
1,categorical__ca_0.0,0.15194474402897512
1,categorical__ca_1.0,-0.051654230873189114
1,categorical__ca_2.0,-0.05782335986038885
1,categorical__ca_3.0,-0.0424671532953971
1,categorical__cp_1.0,-0.004252547769492686
1,categorical__cp_2.0,0.08902127359079201
1,categorical__cp_3.0,0.07315759967564786
1,categorical__cp_4.0,-0.15792632549694718
1,categorical__exang_0.0,0.15139204935278605
1,categorical__exang_1.0,-0.15139204935278605
1,categorical__fbs_0.0,0.024002098362427088
1,categorical__fbs_1.0,-0.024002098362427088
1,categorical__restecg_0.0,0.0915859413883524
1,categorical__restecg_1.0,-0.011735983722346655
1,categorical__restecg_2.0,-0.07984995766600571
1,categorical__sex_0.0,0.021239239110436715
1,categorical__sex_1.0,-0.0212392391104367
1,categorical__slope_1.0,0.19909754084400402
1,categorical__slope_2.0,-0.1660982943129004
1,categorical__slope_3.0,-0.03299924653110367
1,categorical__thal_3.0,0.1623128225423799
1,categorical__thal_6.0,-0.025922978607924835
1,categorical__thal_7.0,-0.13638984393445505
1,numeric__age,-0.4419329314894646
1,numeric__chol,-0.16235685515373313
1,numeric__oldpeak,-0.46367240214634015
1,numeric__thalach,0.49591009704014144
1,numeric__trestbps,-0.26748140473926635
2,categorical__ca_0.0,0.007822936918862797
2,categorical__ca_1.0,-0.025915846697343405
2,categorical__ca_2.0,0.013820457153735314
2,categorical__ca_3.0,0.004272452624745388
2,categorical__cp_1.0,0.015333595964105419
2,categorical__cp_2.0,0.03863808478856955
2,categorical__cp_3.0,0.04851202266935837
2,categorical__cp_4.0,-0.10248370342203342
2,categorical__exang_0.0,0.11078824754687798
2,categorical__exang_1.0,-0.11078824754687806
2,categorical__fbs_0.0,-0.0429216522277999
2,categorical__fbs_1.0,0.0429216522277999
2,categorical__restecg_0.0,-0.08976739359764885
2,categorical__restecg_1.0,-0.00016459429419934693
2,categorical__restecg_2.0,0.08993198789184813
2,categorical__sex_0.0,0.16244525067418045
2,categorical__sex_1.0,-0.16244525067418045
2,categorical__slope_1.0,0.12511690959030966
2,categorical__slope_2.0,-0.10700080492883429
2,categorical__slope_3.0,-0.018116104661475393
2,categorical__thal_3.0,0.11840472719239425
2,categorical__thal_6.0,-0.025193488667843662
2,categorical__thal_7.0,-0.09321123852455061
2,numeric__age,0.32691706331000736
2,numeric__chol,0.6078761749369015
2,numeric__oldpeak,-0.2233554457306099
2,numeric__thalach,0.28922869083622155
2,numeric__trestbps,0.47604057567316993
3,categorical__ca_0.0,0.0842031249692854
3,categorical__ca_1.0,-0.09156805134340866
3,categorical__ca_2.0,0.011973184318268233
3,categorical__ca_3.0,-0.004608257944145094
3,categorical__cp_1.0,0.06211585400662732
3,categorical__cp_2.0,-0.007763013951644111
3,categorical__cp_3.0,0.008007766325852815
3,categorical__cp_4.0,-0.06236060638083602
3,categorical__exang_0.0,0.03300804410251946
3,categorical__exang_1.0,-0.03300804410251968
3,categorical__fbs_0.0,-0.057828810919622546
3,categorical__fbs_1.0,0.057828810919622504
3,categorical__restecg_0.0,0.004248147805291315
3,categorical__restecg_1.0,0.0006823391548785995
3,categorical__restecg_2.0,-0.004930486960169941
3,categorical__sex_0.0,-0.09059450025899418
3,categorical__sex_1.0,0.09059450025899421
3,categorical__slope_1.0,-0.00372701622388571
3,categorical__slope_2.0,-0.06373202998742783
3,categorical__slope_3.0,0.0674590462113135
3,categorical__thal_3.0,-0.07750082468998827
3,categorical__thal_6.0,0.02202223113616489
3,categorical__thal_7.0,0.05547859355382338
3,numeric__age,-0.17864105947916728
3,numeric__chol,-0.4704888529452184
3,numeric__oldpeak,0.2882841638791978
3,numeric__thalach,0.3039210805414616
3,numeric__trestbps,0.7100846275740287
4,categorical__ca_0.0,-0.060405086108034065
4,categorical__ca_1.0,0.07508531274295543
4,categorical__ca_2.0,-0.006959383242419002
4,categorical__ca_3.0,-0.007720843392502486
4,categorical__cp_1.0,0.004175023208129427
4,categorical__cp_2.0,0.023728149309580553
4,categorical__cp_3.0,0.0639167384531157
4,categorical__cp_4.0,-0.09181991097082554
4,categorical__exang_0.0,0.10555729593131838
4,categorical__exang_1.0,-0.1055572959313183
4,categorical__fbs_0.0,-0.04254874533412527
4,categorical__fbs_1.0,0.042548745334125275
4,categorical__restecg_0.0,0.0699321911475327
4,categorical__restecg_1.0,-0.002328636141787422
4,categorical__restecg_2.0,-0.06760355500574525
4,categorical__sex_0.0,0.0496602987824934
4,categorical__sex_1.0,-0.04966029878249336
4,categorical__slope_1.0,0.09319980828350637
4,categorical__slope_2.0,-0.04808186801447988
4,categorical__slope_3.0,-0.045117940269026546
4,categorical__thal_3.0,0.11078313091838315
4,categorical__thal_6.0,0.017985963607444345
4,categorical__thal_7.0,-0.12876909452582758
