component,explained_variance,cumulative_explained_variance,retained
1,0.24532349974581685,0.24532349974581685,True
2,0.13837678591180394,0.3837002856576208,True
3,0.10192370703800419,0.485623992695625,True
4,0.09217210759529974,0.5777961002909248,True
5,0.06435456985515586,0.6421506701460806,True
6,0.0577785171034793,0.6999291872495599,True
7,0.051407406543557604,0.7513365937931175,True
8,0.03886552897475388,0.7902021227678714,True
9,0.03409133703113807,0.8242934597990095,True
10,0.030557204609109885,0.8548506644081194,True
11,0.02767668316770783,0.8825273475758273,True
12,0.02558215437530256,0.9081095019511298,True
13,0.024276267509224445,0.9323857694603542,False
14,0.018655296364285794,0.95104106582464,False
15,0.013630021196550254,0.9646710870211902,False
16,0.009757173722780075,0.9744282607439703,False
17,0.008779141782327568,0.9832074025262978,False
18,0.007650882419430591,0.9908582849457284,False
19,0.007137515128580314,0.9979958000743087,False
20,0.002004199925691232,0.9999999999999999,False
21,4.573439507260129e-33,0.9999999999999999,False
22,4.3028747714746824e-33,0.9999999999999999,False
23,2.5827686996164465e-33,0.9999999999999999,False
24,1.3332521848564691e-33,0.9999999999999999,False
25,1.3332521848564691e-33,0.9999999999999999,False
26,1.3332521848564691e-33,0.9999999999999999,False
27,4.634510255971912e-34,0.9999999999999999,False
28,4.594614239192144e-34,0.9999999999999999,False
